,port_allocation,shares_owned,port_value,snp_price,snp_value,snp_return
2015-07-31,"{'IVW': 247683.42666680316, 'PDP': 265321.0584602638, 'VYM': 345561.8590298009, '^SPX': 407055.49083176116, 'SP5MV': 189604.65897015372}","{'IVW': 9368.296228684192, 'PDP': 6205.766302575151, 'VYM': 6982.708832378479, '^SPX': 193.48214399692685, 'SP5MV': 31.350650554683504}",1455226.4939587829,2103.840087890625,1404329.5275125715,0.40432952751257156
2015-10-31,"{'IVW': 226286.10261175764, 'PDP': 233798.28341740978, 'VYM': 391201.5130462813, '^SPX': 379025.5443524532, 'SP5MV': 216381.71339146898}","{'IVW': 8528.10480434974, 'PDP': 5631.510642894366, 'VYM': 7851.512230998084, '^SPX': 182.279896108228, 'SP5MV': 35.658361618780724}",1446693.156819371,2079.360107421875,1387988.9512477352,0.38798895124773525
2016-01-31,"{'IVW': 220751.2361283886, 'PDP': 204188.93860195525, 'VYM': 383715.2374369364, '^SPX': 315700.37683861674, 'SP5MV': 238980.54261423228}","{'IVW': 8901.017457247375, 'PDP': 5481.437979198718, 'VYM': 7990.183769761117, '^SPX': 162.7120245060412, 'SP5MV': 40.323583896626936}",1363336.3316201293,1940.239990234375,1295125.1972191199,0.2951251972191198
2016-04-30,"{'IVW': 216869.481101127, 'PDP': 251793.58022479678, 'VYM': 392879.21884989686, '^SPX': 372512.94241719495, 'SP5MV': 218422.90013710418}","{'IVW': 8353.623735934752, 'PDP': 6405.469865613117, 'VYM': 7578.218513421939, '^SPX': 180.3674689440709, 'SP5MV': 34.45297443382602}",1452478.1227301199,2065.300048828125,1378603.7534109752,0.3786037534109752
2016-07-31,"{'IVW': 231702.09561845046, 'PDP': 345333.7498651633, 'VYM': 389918.6770166461, '^SPX': 391122.0694936339, 'SP5MV': 185621.6633693177}","{'IVW': 8345.065076690293, 'PDP': 8240.423112451599, 'VYM': 7092.694979007538, '^SPX': 179.9420555397348, 'SP5MV': 27.252457113854955}",1543698.2553632115,2173.60009765625,1450894.873480314,0.450894873480314
2016-10-31,"{'IVW': 289138.133858755, 'PDP': 288663.5888220216, 'VYM': 366220.8556165996, '^SPX': 326016.26549810846, 'SP5MV': 229527.10495294596}","{'IVW': 10627.171087213073, 'PDP': 7191.784150199866, 'VYM': 6795.729649040359, '^SPX': 153.33644402905279, 'SP5MV': 35.34873374888668}",1499565.9487484307,2126.14990234375,1419221.5011802388,0.4192215011802387
2017-01-31,"{'IVW': 348471.9861485984, 'PDP': 373146.76259783696, 'VYM': 315523.11292107916, '^SPX': 391309.41710227233, 'SP5MV': 156579.3299758228}","{'IVW': 12119.865793239394, 'PDP': 8889.56163564493, 'VYM': 5457.853745246684, '^SPX': 171.71203139265015, 'SP5MV': 23.523160448204326}",1585030.6087456096,2278.8701171875,1521163.4255629876,0.5211634255629876
2017-04-30,"{'IVW': 358346.59640020586, 'PDP': 424133.3084780259, 'VYM': 332486.23763327504, '^SPX': 406866.11740047106, 'SP5MV': 147739.53689617696}","{'IVW': 11610.158079752602, 'PDP': 9456.037346657573, 'VYM': 5573.812854801939, '^SPX': 170.6510048372786, 'SP5MV': 21.478577602570482}",1669571.7968081548,2384.199951171875,1591471.9042556633,0.5914719042556633
2017-07-31,"{'IVW': 338775.7524949536, 'PDP': 431670.35894771095, 'VYM': 305725.2857307708, '^SPX': 504826.90742339916, 'SP5MV': 155506.24910008686}","{'IVW': 10446.001685328436, 'PDP': 9191.430784606417, 'VYM': 4969.323961329971, '^SPX': 204.35853841434437, 'SP5MV': 22.060784467006886}",1736504.553696921,2470.300048828125,1648944.385247134,0.6489443852471339
2017-10-31,"{'IVW': 351829.6967967477, 'PDP': 472928.6552251893, 'VYM': 270373.47351663106, '^SPX': 586741.5149418386, 'SP5MV': 140014.83449968396}","{'IVW': 10244.329193590364, 'PDP': 9495.190643065418, 'VYM': 4200.3730395370785, '^SPX': 227.8377766582249, 'SP5MV': 19.40387017687303}",1821888.1749800905,2575.260009765625,1719005.9708208186,0.7190059708208185
2018-01-31,"{'IVW': 328782.34774422017, 'PDP': 514611.40237441444, 'VYM': 326995.8263501089, '^SPX': 616949.3336371531, 'SP5MV': 204076.91331247755}","{'IVW': 8635.464745352108, 'PDP': 9545.690955405433, 'VYM': 4664.879835947883, '^SPX': 218.48117289602413, 'SP5MV': 26.106172846314028}",1991415.8234183737,2823.81005859375,1884915.0504334196,0.8849150504334196
2018-04-30,"{'IVW': 325348.9421267915, 'PDP': 453506.9822141637, 'VYM': 358853.88701309863, '^SPX': 544032.9008216113, 'SP5MV': 202355.74156113883}","{'IVW': 8971.005477155937, 'PDP': 8771.605772645475, 'VYM': 5483.81382830768, '^SPX': 205.44660817961844, 'SP5MV': 27.29008961052393}",1884098.453736804,2648.050048828125,1767593.8847752258,0.7675938847752257
2018-07-31,"{'IVW': 381423.72331983934, 'PDP': 525810.3405232814, 'VYM': 335316.41375225375, '^SPX': 611834.4954811496, 'SP5MV': 152621.59639396303}","{'IVW': 9692.479708620162, 'PDP': 9527.184965171784, 'VYM': 4859.238009158396, '^SPX': 217.24839664767626, 'SP5MV': 19.567849725045615}",2007006.569470487,2816.2900390625,1879895.3792445348,0.8798953792445348
2018-10-31,"{'IVW': 303846.38798803015, 'PDP': 399035.3440628143, 'VYM': 429467.7828192009, '^SPX': 544801.1135420729, 'SP5MV': 253016.76616769203}","{'IVW': 7951.134493388472, 'PDP': 7664.409643912828, 'VYM': 6412.801682863512, '^SPX': 200.90462784191413, 'SP5MV': 33.18074256567083}",1930167.3945798103,2711.739990234375,1810107.413173679,0.810107413173679
2019-01-31,"{'IVW': 359169.9551167355, 'PDP': 380401.7068866604, 'VYM': 432232.99179319135, '^SPX': 512267.9108042203, 'SP5MV': 239972.8580426102}","{'IVW': 9429.884656544496, 'PDP': 7369.262869203651, 'VYM': 6431.260511888289, '^SPX': 189.44117906294338, 'SP5MV': 31.68477190227974}",1924045.422643418,2704.10009765625,1805007.7257990355,0.8050077257990356
2019-04-30,"{'IVW': 356462.9118508814, 'PDP': 503938.89688475215, 'VYM': 381808.8681890543, '^SPX': 708957.4085327061, 'SP5MV': 158486.70000300367}","{'IVW': 8424.133225654245, 'PDP': 8717.968802162488, 'VYM': 5295.836415464766, '^SPX': 240.66473276827713, 'SP5MV': 19.09892506844902}",2109654.7854603976,2945.830078125,1966364.3570426507,0.9663643570426508
2019-07-31,"{'IVW': 357646.020206949, 'PDP': 503798.89775970584, 'VYM': 405235.20729045727, '^SPX': 683458.0900082397, 'SP5MV': 205490.79711722562}","{'IVW': 8313.800218668934, 'PDP': 8298.056434756114, 'VYM': 5585.378502400542, '^SPX': 229.31911933430436, 'SP5MV': 24.160152788033148}",2155629.0123825776,2980.3798828125,1989426.6188427361,0.9894266188427361
2019-10-31,"{'IVW': 376634.7810168187, 'PDP': 545306.0775050288, 'VYM': 491086.0061729627, '^SPX': 623620.0252757102, 'SP5MV': 146854.83881196706}","{'IVW': 8641.94525796525, 'PDP': 9073.27523432385, 'VYM': 6585.740511953306, '^SPX': 205.30294487886354, 'SP5MV': 16.944508857580477}",2183501.7287824876,3037.56005859375,2027594.828346948,1.027594828346948
2020-01-31,"{'IVW': 398594.2727084511, 'PDP': 502277.8054935777, 'VYM': 622492.358185711, '^SPX': 581911.317669719, 'SP5MV': 216427.36682431024}","{'IVW': 8404.741301603495, 'PDP': 7726.855663412474, 'VYM': 8125.078010255169, '^SPX': 180.40852766255207, 'SP5MV': 23.615221689247075}",2321703.120881769,3225.52001953125,2153059.555753722,1.153059555753722
2020-04-30,"{'IVW': 289597.3810854999, 'PDP': 291073.3697376671, 'VYM': 711329.2209661463, '^SPX': 199979.30012609367, 'SP5MV': 604466.6889173333}","{'IVW': 6392.02404262437, 'PDP': 4861.001611614488, 'VYM': 10795.254673224583, '^SPX': 68.6640725510748, 'SP5MV': 74.28098178170305}",2096445.9608327404,2912.429931640625,1944069.500983376,0.9440695009833762
2020-07-31,"{'IVW': 332709.70802101045, 'PDP': 460809.08545053855, 'VYM': 513645.82568806445, '^SPX': 386160.8349419853, 'SP5MV': 634249.2889693592}","{'IVW': 6215.384824200816, 'PDP': 6356.570684794472, 'VYM': 7411.073523540057, '^SPX': 118.05156066051323, 'SP5MV': 71.35961901395457}",2327574.7430709577,3271.1201171875,2183497.9735615766,1.1834979735615767
2020-10-31,"{'IVW': 492786.95583190315, 'PDP': 399251.7610442611, 'VYM': 506782.1409321436, '^SPX': 367521.91913175577, 'SP5MV': 566931.6598736027}","{'IVW': 9085.666622680446, 'PDP': 5359.91946442042, 'VYM': 7400.869362021497, '^SPX': 112.3934003847518, 'SP5MV': 64.30063887307233}",2333274.4368136665,3269.9599609375,2182723.560293296,1.182723560293296
2021-01-31,"{'IVW': 579846.8023281664, 'PDP': 531169.6981710357, 'VYM': 472881.2741968213, '^SPX': 419781.4317361703, 'SP5MV': 620404.0648650606}","{'IVW': 9433.389186628023, 'PDP': 6281.392736138553, 'VYM': 5983.376150239722, '^SPX': 113.01946908112456, 'SP5MV': 65.3976608014071}",2624083.271297254,3714.239990234375,2479283.9154347884,1.4792839154347885
2021-04-30,"{'IVW': 702966.7023413574, 'PDP': 749651.657557091, 'VYM': 374751.81103984517, '^SPX': 578301.1814663663, 'SP5MV': 472102.2184474216}","{'IVW': 10425.81454564413, 'PDP': 8672.616449609848, 'VYM': 4134.560295588446, '^SPX': 138.31085372560833, 'SP5MV': 45.14557907682187}",2877773.5708520813,4181.169921875,2790963.255540815,1.7909632555408153
2021-07-31,"{'IVW': 697352.9709216325, 'PDP': 769690.6732358426, 'VYM': 507193.8210394972, '^SPX': 615074.2411513467, 'SP5MV': 443920.13643456984}","{'IVW': 9519.827062789036, 'PDP': 8511.545368044744, 'VYM': 5466.197820514265, '^SPX': 139.94036165093056, 'SP5MV': 40.59273647324373}",3033231.842782889,4395.259765625,2933869.881785456,1.9338698817854563
